ax,ay,az
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
0.03,0.18,1.06
-0.05,0.07,0.98
0.06,-0.12,1.10
-0.07,-0.01,0.90
-0.03,0.11,1.14
-0.00,-0.08,1.27
-0.16,0.04,0.82
0.05,-0.04,1.16
0.06,-0.13,1.31
-0.19,-0.03,0.85
-0.02,-0.09,1.11
0.10,0.03,1.13
-0.11,0.03,0.89
0.13,-0.07,1.21
0.03,0.12,1.04
-0.17,-0.20,1.01
0.15,0.05,1.32
-0.16,0.05,0.98
-0.08,-0.26,1.13
0.07,0.20,1.25
-0.17,-0.15,0.85
-0.04,-0.04,1.10
0.03,0.23,1.13
-0.09,-0.18,0.99
0.03,-0.00,1.11
0.00,0.09,1.12
-0.06,-0.08,1.06
0.01,0.06,1.23
0.03,0.06,1.07
-0.08,-0.21,0.96
-0.04,0.11,1.00
0.07,0.11,1.26
-0.00,-0.18,1.04
-0.06,0.05,0.96
-0.02,0.03,1.14
-0.05,-0.08,1.06
-0.03,-0.05,1.06
-0.03,-0.04,1.13
-0.04,-0.12,1.05
0.02,0.08,1.16
-0.05,0.01,1.13
-0.03,-0.11,1.09
-0.02,0.11,1.23
-0.03,0.08,1.08
-0.00,-0.26,1.09
-0.04,0.21,1.09
-0.03,-0.01,1.12
-0.02,-0.24,1.07
-0.01,0.27,1.16
-0.01,-0.13,1.12
-0.08,-0.23,1.01
0.06,0.19,1.21
-0.03,-0.06,1.04
-0.12,-0.30,1.03
0.03,0.19,1.16
-0.05,-0.09,1.03
-0.07,-0.28,1.03
-0.02,0.22,1.18
-0.00,-0.07,1.11
-0.09,-0.18,1.10
-0.01,0.26,1.08
0.05,-0.14,1.23
-0.04,-0.15,1.18
-0.03,0.15,0.97
0.04,-0.16,1.16
-0.05,-0.05,1.09
-0.05,0.07,1.04
0.04,-0.15,1.16
-0.06,0.01,1.07
-0.00,0.07,1.05
0.06,-0.12,1.15
-0.09,-0.03,0.91
0.03,-0.07,1.22
0.05,-0.07,1.07
-0.14,-0.04,0.89
0.04,-0.05,1.29
-0.05,-0.11,1.14
-0.02,0.03,0.97
0.07,-0.05,1.20
-0.01,-0.00,1.01
-0.02,0.03,1.09
-0.04,-0.04,1.10
-0.15,0.05,0.96
-0.04,-0.06,1.08
0.07,-0.12,1.16
-0.06,0.21,0.91
0.04,-0.12,1.19
0.03,-0.13,1.12
-0.11,0.15,1.11
-0.03,-0.24,1.09
-0.03,0.07,1.18
-0.00,0.06,1.00
-0.02,-0.21,0.99
-0.06,0.01,1.19
-0.03,-0.09,1.04
-0.01,-0.15,0.97
-0.01,0.11,1.13
-0.05,-0.02,1.12
-0.10,-0.10,0.98
0.06,0.01,1.15
-0.01,0.09,1.20
-0.14,-0.17,1.13
0.03,-0.01,1.00
-0.00,0.14,1.13
-0.12,-0.27,1.13
-0.01,0.01,0.98
0.05,0.22,1.14
-0.04,-0.43,1.17
-0.01,0.17,0.96
-0.02,0.20,1.11
-0.09,-0.45,1.21
-0.08,0.38,1.02
0.08,-0.01,1.08
0.01,-0.37,1.06
-0.05,0.32,1.08
0.02,-0.14,1.06
-0.01,-0.32,1.16
-0.08,0.34,1.06
0.06,-0.30,1.22
-0.04,-0.06,1.00
-0.06,0.26,1.10
-0.00,-0.37,1.25
-0.13,0.03,0.93
-0.01,0.07,1.09
0.07,-0.30,1.12
-0.14,0.11,0.84
0.06,0.08,1.24
-0.01,-0.22,1.12
-0.15,0.02,0.82
0.10,0.09,1.30
-0.13,-0.22,1.14
-0.13,0.11,0.87
0.13,0.06,1.31
-0.06,-0.21,1.02
-0.13,0.16,0.82
0.09,-0.11,1.35
-0.06,-0.02,0.84
-0.06,0.11,1.14
0.15,0.00,1.26
-0.08,-0.00,0.83
0.03,0.10,1.09
0.05,0.01,1.29
-0.05,-0.07,0.85
0.10,0.06,1.21
0.00,-0.03,1.10
-0.06,-0.05,0.85
0.13,0.11,1.28
-0.03,-0.07,1.04
-0.06,-0.02,0.97
0.13,0.02,1.34
-0.08,-0.03,0.99
-0.09,-0.11,1.05
0.00,0.02,1.22
-0.05,0.04,1.02
-0.09,-0.05,1.14
0.01,0.02,1.07
-0.03,-0.01,1.04
-0.08,-0.02,1.03
-0.02,-0.07,1.32
-0.07,0.02,1.02
-0.03,-0.03,0.98
0.09,-0.02,1.18
-0.07,0.05,0.96
0.05,-0.31,1.17
0.04,0.23,1.09
-0.12,-0.08,1.04
0.10,-0.10,1.20
0.05,0.28,1.22
-0.11,-0.19,0.91
-0.05,-0.03,1.27
0.04,0.16,1.08
-0.09,-0.13,0.95
-0.04,-0.11,1.16
-0.07,0.09,1.07
-0.02,-0.12,1.01
0.05,-0.09,1.19
-0.10,0.15,0.89
0.01,-0.25,1.21
0.02,0.06,1.13
-0.12,0.08,0.94
-0.01,-0.42,1.12
0.04,0.26,1.07
-0.07,-0.02,1.11
-0.04,-0.25,1.17
-0.07,0.13,0.85
-0.03,0.03,1.13
0.02,-0.13,1.20
-0.20,0.12,0.92
0.02,-0.02,1.19
-0.00,-0.19,1.09
-0.07,0.15,0.83
0.02,-0.02,1.16
-0.11,-0.18,1.15
-0.15,0.08,0.94
0.08,-0.13,1.28
-0.04,-0.02,0.95
-0.02,0.09,1.21
0.08,-0.13,1.14
-0.02,0.10,1.05
-0.05,-0.03,1.00
0.03,-0.05,1.08
-0.05,0.09,1.10
-0.01,-0.05,1.09
-0.04,0.05,1.08
-0.02,-0.13,0.98
0.05,0.07,1.28
-0.03,-0.17,1.07
-0.12,-0.10,0.93
0.04,0.15,1.26
-0.06,-0.19,1.14
-0.07,0.06,1.05
0.01,0.04,1.00
-0.03,-0.09,1.18
-0.05,-0.08,1.12
0.01,-0.10,1.13
-0.01,0.01,1.06
-0.07,-0.17,1.03
0.06,0.05,1.14
-0.02,-0.04,1.13
-0.14,-0.11,0.92
-0.02,0.04,1.12
0.00,-0.07,1.05
-0.08,-0.04,1.00
0.03,0.01,1.25
-0.02,0.08,1.04
-0.00,-0.18,1.04
0.06,0.12,1.19
-0.08,0.10,1.08
0.01,-0.41,1.02
0.03,0.26,1.21
-0.11,0.04,0.94
-0.03,-0.48,1.19
0.03,0.37,1.04
-0.03,-0.16,0.96
0.01,-0.23,1.25
-0.01,0.37,1.03
-0.16,-0.26,1.01
-0.03,0.01,1.23
-0.04,0.22,0.95
0.04,-0.26,1.15
-0.03,0.01,1.08
-0.02,0.26,1.00
0.11,-0.31,1.21
-0.04,-0.05,0.92
-0.06,0.17,1.17
-0.00,-0.37,1.26
-0.10,0.08,0.92
0.09,0.12,1.19
0.02,-0.36,1.13
-0.07,0.29,0.94
0.08,-0.07,1.21
-0.04,-0.25,1.01
-0.14,0.11,0.94
0.08,-0.08,1.21
-0.13,-0.21,1.08
-0.06,0.06,1.00
0.13,-0.09,1.25
-0.17,-0.10,0.85
0.01,0.18,1.12
0.05,-0.07,1.23
-0.09,-0.16,0.83
0.02,0.12,0.99
-0.01,-0.18,1.14
-0.03,-0.07,0.85
0.08,0.10,1.19
0.05,-0.27,1.19
-0.08,-0.05,0.88
0.08,0.19,1.25
-0.05,-0.21,0.98
-0.14,0.00,1.02
0.07,0.09,1.16
-0.09,-0.32,1.06
-0.10,0.21,0.93
0.07,0.00,1.25
-0.00,-0.07,1.04
-0.08,0.09,1.06
0.03,-0.11,1.31
-0.06,-0.01,1.06
-0.14,-0.01,0.90
0.14,-0.07,1.29
-0.01,-0.03,0.97
-0.13,-0.13,1.01
0.01,-0.04,1.07
-0.09,-0.13,0.97
0.04,0.09,1.10
0.05,-0.07,1.20
-0.12,0.01,0.78
-0.04,0.09,1.27
-0.08,0.04,1.22
-0.15,-0.05,0.88
-0.00,-0.17,1.17
-0.03,0.14,1.17
-0.16,0.01,0.77
0.15,-0.12,1.33
0.02,0.25,0.99
-0.03,-0.25,0.99
0.19,0.07,1.26
-0.10,0.09,1.05
-0.09,-0.20,1.10
0.00,-0.00,1.22
-0.16,0.01,0.94
0.02,-0.16,1.19
-0.01,-0.04,0.93
-0.02,0.05,1.07
0.03,-0.17,1.13
-0.08,0.09,0.99
-0.05,0.10,1.05
0.02,-0.32,1.19
-0.01,0.19,0.99
-0.01,-0.08,1.09
0.01,-0.19,1.10
-0.05,0.09,1.16
-0.04,-0.06,0.95
0.01,-0.05,1.03
0.05,0.03,1.03
-0.06,-0.04,1.05
0.05,-0.14,1.07
-0.02,0.03,1.09
-0.05,0.03,1.13
-0.01,-0.27,1.02
-0.05,0.27,1.06
-0.07,-0.07,1.17
-0.02,-0.31,1.09
0.02,0.30,1.05
-0.04,-0.24,1.09
-0.06,-0.13,1.11
-0.05,0.18,1.06
-0.06,-0.32,1.17
-0.09,-0.07,0.97
-0.04,0.28,1.00
0.05,-0.34,1.16
-0.10,0.10,0.88
-0.07,0.17,0.98
0.04,-0.26,1.11
-0.12,0.13,0.95
-0.04,0.00,1.08
0.06,-0.18,1.09
-0.10,0.09,1.06
0.03,-0.00,1.14
0.03,-0.07,1.17
-0.11,0.07,0.99
0.02,-0.08,1.22
-0.00,-0.03,1.12
-0.14,-0.13,0.97
0.08,-0.09,1.32
-0.06,0.08,1.05
-0.10,-0.09,1.01
0.09,-0.03,1.23
-0.10,0.18,0.89
0.04,-0.36,1.19
0.05,0.09,1.06
-0.05,-0.07,0.85
0.05,-0.30,1.23
0.01,0.26,1.20
-0.08,-0.21,0.97
0.03,-0.18,1.14
-0.10,0.30,0.99
-0.02,-0.33,1.19
0.09,-0.08,1.20
-0.11,0.18,0.93
-0.01,-0.34,1.09
0.03,0.06,1.15
-0.06,0.17,0.99
0.04,-0.33,1.20
-0.08,0.31,0.79
0.08,0.00,1.32
0.09,-0.22,1.17
-0.08,0.25,0.98
0.06,-0.13,1.24
0.01,-0.13,1.05
-0.09,0.06,0.84
0.12,0.00,1.25
-0.08,-0.15,1.02
-0.06,0.12,0.98
0.18,0.14,1.31
-0.13,-0.18,0.86
0.05,0.24,1.11
0.09,-0.09,1.29
-0.05,-0.22,1.00
-0.01,0.29,1.08
0.08,-0.25,1.18
-0.04,0.10,1.00
0.03,0.09,1.17
-0.03,-0.09,1.04
-0.08,-0.04,0.97
0.10,0.12,1.27
-0.11,-0.15,1.15
-0.02,-0.23,0.98
0.07,0.19,1.21
-0.06,-0.24,1.21
-0.09,-0.03,0.98
0.10,0.10,1.14
-0.01,-0.27,1.01
-0.10,0.05,0.98
0.04,-0.08,1.20
-0.05,-0.12,1.11
-0.10,0.01,0.93
0.16,-0.06,1.29
-0.09,0.01,1.01
-0.14,-0.06,0.98
0.04,0.01,1.31
-0.07,-0.09,0.96
-0.05,0.14,1.00
0.18,0.03,1.39
-0.13,-0.06,0.84
0.03,0.00,1.16
0.14,-0.04,1.22
-0.14,-0.05,1.02
0.06,-0.10,1.19
-0.02,0.11,1.14
-0.17,-0.01,0.85
0.08,-0.24,1.40
-0.03,0.23,1.05
-0.15,-0.29,1.00
0.06,-0.01,1.32
-0.12,0.15,1.06
-0.09,-0.29,1.05
0.06,0.03,1.25
-0.09,0.06,0.98
-0.05,-0.17,1.05
0.04,0.12,1.13
-0.05,-0.04,1.06
-0.03,-0.14,1.12
-0.07,0.12,0.99
-0.04,-0.03,1.03
-0.05,-0.12,1.12
-0.01,0.14,1.14
0.00,-0.10,1.07
-0.10,-0.03,1.00
0.04,-0.02,1.22
0.04,-0.05,1.10
0.02,-0.13,1.02
-0.09,0.06,0.96
0.04,-0.16,1.11
0.04,0.04,1.16
-0.14,0.12,1.00
-0.02,-0.20,1.13
-0.03,0.12,1.06
-0.04,-0.02,1.00
-0.04,-0.23,1.06
-0.02,0.12,1.02
-0.05,-0.04,1.10
-0.10,-0.27,1.12
-0.00,0.05,0.95
0.04,0.02,1.09
-0.11,-0.31,1.14
-0.00,0.10,0.97
0.06,0.08,1.16
-0.04,-0.28,1.10
-0.07,0.16,1.05
-0.07,-0.04,1.13
-0.02,-0.11,1.19
-0.10,0.17,0.94
-0.00,-0.01,1.27
-0.02,-0.04,1.15
-0.05,-0.09,0.99
0.04,-0.06,1.27
-0.05,0.02,0.93
-0.05,-0.06,0.96
0.06,0.09,1.14
-0.07,-0.09,0.98
-0.08,-0.14,1.17
-0.05,-0.01,1.21
-0.15,-0.07,0.81
0.05,-0.03,1.18
0.04,0.00,1.05
-0.06,0.07,0.98
0.09,-0.22,1.28
-0.04,0.05,0.95
0.05,0.15,1.06
0.06,-0.20,1.32
-0.09,0.22,0.92
0.07,-0.09,1.24
0.00,-0.18,1.11
-0.10,0.21,0.95
0.03,-0.13,1.27
-0.07,-0.01,1.10
-0.11,0.13,0.98
0.07,-0.22,1.24
-0.18,0.11,0.88
0.05,0.06,1.17
0.07,-0.19,1.17
-0.05,0.02,0.88
0.05,0.03,1.19
0.03,-0.18,1.06
-0.10,0.06,1.09
0.03,0.05,1.18
-0.03,-0.15,1.03
-0.05,0.13,0.97
0.08,0.19,1.19
-0.03,-0.32,1.03
-0.04,0.17,1.00
-0.00,0.04,1.19
-0.05,-0.25,0.92
-0.02,0.28,1.17
-0.06,-0.00,1.08
-0.03,-0.22,0.95
0.03,0.20,1.10
0.05,-0.13,1.11
-0.04,-0.11,1.15
-0.08,0.22,1.00
0.00,-0.11,1.18
-0.01,-0.02,1.10
-0.02,0.23,0.99
0.11,-0.18,1.30
-0.10,-0.04,0.98
0.03,0.25,0.95
0.06,-0.17,1.19
-0.17,0.08,0.87
0.09,-0.03,1.23
-0.01,-0.12,1.17
-0.20,0.09,0.73
0.14,-0.02,1.43
-0.07,-0.01,1.09
-0.13,-0.04,0.93
0.18,0.01,1.39
-0.15,-0.02,0.98
-0.11,-0.13,1.00
0.12,0.02,1.31
-0.18,0.01,0.90
-0.04,-0.16,1.09
0.10,0.19,1.27
-0.12,-0.06,0.87
0.01,-0.09,1.12
0.04,0.21,1.20
-0.18,-0.12,0.89
0.07,-0.12,1.30
-0.11,0.16,1.01
-0.09,-0.21,1.04
0.04,-0.01,1.17
-0.09,0.16,0.88
-0.05,-0.16,1.06
-0.03,-0.01,1.26
-0.06,0.09,1.06
-0.01,-0.33,1.10
-0.03,0.20,1.11
-0.05,-0.13,1.02
-0.03,-0.08,0.98
0.07,0.15,1.19
0.00,-0.16,1.11
-0.08,-0.01,1.06
-0.03,0.09,1.19
-0.01,-0.08,1.16
-0.02,-0.06,1.05
0.01,0.10,1.06
0.01,-0.21,1.14
0.01,-0.02,1.05
-0.09,0.08,1.10
-0.03,-0.28,1.22
-0.09,0.15,0.97
-0.08,0.06,1.02
-0.01,-0.03,1.22
-0.01,0.08,1.12
0.01,-0.04,1.08
-0.08,-0.22,1.11
-0.07,-0.00,1.04
0.08,0.03,1.13
-0.00,-0.18,0.90
-0.03,0.04,0.99
0.04,0.05,1.27
-0.07,-0.06,1.03
-0.05,0.09,0.95
0.09,-0.09,1.21
-0.08,-0.03,1.11
-0.02,-0.02,1.07
-0.00,0.04,1.10
-0.03,-0.09,1.12
0.03,0.10,1.03
